Wed Apr 27 19:21:59 2016
[([0, 4, 0, 0, 3], 10.455000100510519), ([1, 2, 6, 11, 5, 7, 20, 8, 17, 12, 13, 16, 15, 18, 10, 19, 9, 14, 4, 3], 10.455000100510519)]
[([2, 0, 11, 0, 5], 12.324447866838149), ([1, 14, 3, 17, 10, 15, 9, 8, 19, 12, 13, 18, 6, 7, 4, 20, 16, 2, 11, 5], 12.324447866838149)]
[([7, 0, 0, 0, 2], 12.529834567892058), ([1, 11, 6, 5, 13, 4, 19, 15, 10, 9, 14, 8, 16, 17, 12, 20, 3, 7, 2, 18], 12.529834567892058)]
[([11, 0, 17, 0, 17], 13.63953067113447), ([1, 7, 2, 12, 5, 20, 18, 14, 16, 15, 9, 19, 13, 4, 8, 10, 6, 17, 3, 11], 13.63953067113447)]
[([2, 16, 0, 2, 0], 12.517854272221026), ([1, 13, 20, 10, 11, 9, 4, 15, 3, 5, 19, 7, 6, 12, 8, 14, 18, 17, 16, 2], 12.517854272221026)]
[([2, 0, 0, 0, 2], 12.227721797463463), ([1, 17, 11, 12, 10, 6, 9, 5, 4, 7, 20, 16, 19, 3, 18, 14, 8, 15, 13, 2], 12.227721797463463)]
[([11, 0, 11, 0, 19], 13.05886132836696), ([1, 18, 6, 3, 5, 17, 8, 16, 12, 4, 13, 20, 9, 10, 7, 14, 15, 2, 19, 11], 13.05886132836696)]
[([18, 0, 0, 17, 2], 13.91190720703603), ([1, 3, 12, 16, 14, 9, 10, 15, 7, 4, 13, 20, 8, 5, 19, 6, 17, 2, 11, 18], 13.91190720703603)]
[([7, 0, 0, 0, 2], 13.967094524062452), ([1, 14, 8, 18, 16, 4, 20, 3, 13, 6, 9, 10, 19, 5, 11, 12, 17, 15, 7, 2], 13.967094524062452)]
[([0, 0, 18, 17, 2], 11.963072285816851), ([1, 20, 10, 8, 13, 15, 14, 16, 12, 7, 6, 17, 5, 11, 3, 9, 4, 19, 18, 2], 11.963072285816851)]
[([2, 0, 17, 0, 5], 13.302228037029815), ([1, 15, 14, 18, 8, 16, 11, 6, 12, 9, 4, 13, 20, 3, 19, 10, 17, 7, 2, 5], 13.302228037029815)]
[([13, 0, 0, 17, 17], 12.320728442769614), ([1, 8, 7, 19, 11, 15, 14, 16, 12, 18, 9, 3, 4, 6, 2, 5, 20, 10, 13, 17], 12.320728442769614)]
[([11, 11, 0, 17, 0], 15.788931283230248), ([1, 20, 19, 10, 3, 2, 9, 13, 12, 17, 6, 5, 14, 16, 4, 15, 7, 8, 18, 11], 15.788931283230248)]

