Thu Apr 28 21:31:55 2016
[([19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19, 0, 0, 0], 3.9600621650487855), ([1, 9, 11, 5, 16, 7, 17, 6, 18, 10, 15, 13, 12, 8, 2, 4, 20, 3, 14, 19], 3.9600621650487855)]
[([19, 19, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 19, 19, 19, 0, 0, 0, 0, 0], 3.843917749602956), ([1, 16, 8, 18, 11, 5, 12, 2, 4, 15, 17, 7, 20, 14, 6, 10, 3, 13, 9, 19], 3.843917749602956)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19, 0, 0, 0], 30.656644284551295), ([1, 15, 17, 11, 18, 5, 12, 8, 7, 10, 9, 14, 4, 16, 6, 3, 20, 13, 2, 19], 30.656644284551295)]
[([0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 19, 19, 0, 0, 19, 0, 0, 0], 4.079924881196704), ([1, 4, 15, 5, 10, 8, 12, 11, 17, 7, 3, 16, 9, 2, 18, 14, 13, 6, 20, 19], 4.079924881196704)]
[([0, 0, 0, 19, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19, 19, 0, 19, 0, 0, 0], 4.880712756937721), ([1, 3, 20, 18, 7, 15, 11, 10, 17, 4, 9, 12, 8, 16, 13, 14, 6, 5, 2, 19], 4.880712756937721)]
[([0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0], 4.298332643972639), ([1, 5, 7, 14, 9, 15, 4, 11, 10, 17, 18, 12, 20, 13, 3, 6, 16, 8, 2, 19], 4.298332643972639)]
[([19, 19, 0, 19, 0, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19, 0, 0, 0], 4.953151812525412), ([1, 4, 6, 7, 18, 11, 15, 10, 17, 2, 16, 14, 3, 20, 13, 8, 9, 12, 5, 19], 4.953151812525412)]
[([19, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0], 4.140442317921733), ([1, 2, 10, 17, 18, 7, 15, 16, 3, 9, 4, 6, 12, 8, 20, 13, 14, 5, 11, 19], 4.140442317921733)]
[([19, 19, 0, 19, 19, 0, 0, 0, 0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0], 3.5822816811276237), ([1, 16, 20, 9, 15, 17, 3, 4, 7, 18, 5, 8, 12, 10, 6, 13, 14, 2, 11, 19], 3.5822816811276237)]
[([19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 0, 0, 0], 3.4195559944682916), ([1, 16, 15, 12, 17, 5, 18, 9, 8, 2, 4, 13, 7, 14, 6, 3, 20, 10, 11, 19], 3.4195559944682916)]
[([19, 19, 0, 19, 19, 0, 0, 0, 0, 0, 0, 0, 19, 19, 19, 0, 19, 0, 0, 0], 4.524596140795912), ([1, 9, 8, 12, 3, 17, 18, 16, 5, 15, 4, 10, 14, 6, 20, 13, 11, 7, 2, 19], 4.524596140795912)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 19, 0, 19, 0, 0, 0], 34.617197802939295), ([1, 17, 13, 18, 10, 15, 7, 4, 14, 8, 9, 2, 11, 20, 3, 6, 16, 12, 5, 19], 34.617197802939295)]
[([0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 19, 0, 19, 0, 19, 0, 0, 0], 3.855680538388522), ([1, 15, 20, 18, 8, 16, 12, 9, 14, 10, 11, 7, 2, 3, 17, 6, 13, 5, 4, 19], 3.855680538388522)]
[([19, 19, 0, 19, 19, 0, 19, 0, 0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0], 4.312771294978861), ([1, 11, 17, 13, 18, 5, 4, 7, 15, 10, 2, 8, 12, 9, 14, 6, 16, 20, 3, 19], 4.312771294978861)]
[([19, 19, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 19, 19, 0, 0, 0, 0, 0, 0], 3.9756050591556598), ([1, 7, 8, 11, 15, 10, 5, 14, 18, 4, 3, 13, 20, 17, 6, 16, 9, 12, 2, 19], 3.9756050591556598)]
[([19, 19, 0, 19, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0], 3.58616496514369), ([1, 2, 12, 7, 15, 17, 5, 10, 18, 8, 11, 14, 20, 16, 9, 13, 6, 3, 4, 19], 3.58616496514369)]
[([19, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0], 4.216110633126994), ([1, 5, 10, 3, 2, 15, 4, 14, 13, 20, 18, 17, 6, 11, 7, 9, 8, 12, 16, 19], 4.216110633126994)]

