Fri Apr 29 04:07:46 2016
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 0, 0, 0, 0], 2.054349867558138), ([1, 7, 5, 13, 12, 17, 6, 8, 18, 15, 19, 16, 4, 11, 3, 14, 2, 9, 20, 10], 2.054349867558138)]
[([0, 0, 0, 0, 11, 0, 0, 11, 11, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 11, 0], 1.9421808218783012), ([1, 10, 9, 4, 17, 13, 15, 16, 2, 6, 14, 8, 7, 3, 12, 20, 19, 18, 5, 11], 1.9421808218783012)]
[([0, 0, 10, 0, 0, 0, 0, 0, 10, 10, 10, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0, 10, 10, 0], 2.428327099824176), ([1, 20, 12, 15, 5, 9, 19, 7, 8, 2, 4, 13, 3, 18, 6, 17, 14, 16, 11, 10], 2.428327099824176)]
[([0, 0, 10, 0, 0, 0, 0, 0, 10, 10, 10, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0], 2.3478436152772404), ([1, 19, 17, 6, 13, 2, 7, 8, 18, 11, 20, 12, 3, 16, 14, 15, 5, 4, 9, 10], 2.3478436152772404)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10, 10, 10, 10, 10, 0, 0, 0], 1.960648177657313), ([1, 7, 6, 18, 17, 12, 15, 8, 13, 5, 2, 14, 19, 11, 4, 16, 3, 9, 20, 10], 1.960648177657313)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10, 10, 10, 0, 0, 0, 10, 10], 2.1416586482385958), ([1, 17, 7, 5, 13, 19, 2, 12, 6, 16, 3, 14, 8, 15, 18, 4, 9, 11, 20, 10], 2.1416586482385958)]
[([0, 0, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 11], 2.167864482010482), ([1, 10, 19, 4, 2, 8, 18, 7, 6, 13, 9, 5, 3, 15, 16, 14, 17, 12, 20, 11], 2.167864482010482)]
[([0, 0, 10, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 0, 0, 0, 0, 0, 10, 10, 0, 0, 10, 0, 0], 1.9624022605258933), ([1, 12, 20, 9, 17, 4, 5, 11, 14, 16, 3, 19, 8, 7, 15, 6, 18, 13, 2, 10], 1.9624022605258933)]
[([0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0], 2.2846369880995665), ([1, 12, 20, 17, 18, 5, 3, 16, 6, 8, 7, 15, 13, 14, 2, 19, 4, 9, 11, 10], 2.2846369880995665)]
[([0, 0, 11, 0, 0, 0, 0, 0, 0, 11, 0, 11, 11, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 11], 1.9063895870031957), ([1, 7, 14, 8, 3, 5, 17, 6, 12, 10, 20, 9, 2, 15, 18, 13, 4, 19, 16, 11], 1.9063895870031957)]
[([0, 0, 0, 0, 11, 0, 0, 11, 11, 11, 0, 11, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11, 11, 11], 2.061492792877167), ([1, 16, 17, 6, 18, 14, 4, 12, 20, 3, 9, 10, 13, 15, 7, 8, 5, 2, 19, 11], 2.061492792877167)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 0, 0, 0, 0, 10, 10, 0, 0, 10, 10, 0, 0], 2.044883181454545), ([1, 7, 17, 12, 11, 4, 16, 14, 13, 6, 18, 8, 15, 5, 3, 19, 9, 2, 20, 10], 2.044883181454545)]
[([0, 0, 0, 0, 11, 0, 11, 11, 0, 11, 0, 11, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11, 11, 0, 11], 2.3618311540112753), ([1, 2, 12, 20, 10, 9, 19, 4, 15, 3, 5, 8, 7, 16, 17, 6, 14, 18, 13, 11], 2.3618311540112753)]
